Name,Men,Women,Value,Year,Rank,Ylist
Denmark,54,65,119,1996,24,
Czech Republic,76,39,115,1996,25,
Switzerland,72,43,115,1996,26,
Bulgaria,74,36,110,1996,27,
Portugal,83,24,107,1996,28,
Mexico,71,27,98,1996,29,
Norway,42,55,97,1996,30,
Kazakhstan,72,24,96,1996,31,
New Zealand,66,29,95,1996,32,
South Africa,64,20,84,1996,33,
Croatia,75,9,84,1996,34,
Ireland,62,16,78,1996,35,
Finland,47,29,76,1996,36,
Chinese Taipei,32,42,74,1996,37,
Austria,56,16,72,1996,38,
Slovakia,58,13,71,1996,39,
Uzbekistan,63,8,71,1996,40,
Puerto Rico,47,22,69,1996,41,
Yugoslavia,59,9,68,1996,42,
Nigeria,49,16,65,1996,43,
Belgium,41,20,61,1996,44,
Lithuania,45,16,61,1996,45,
Turkey,44,9,53,1996,46,
Kenya,42,10,52,1996,47,
Tunisia,45,6,51,1996,48,
India,40,9,49,1996,49,
Colombia,39,9,48,1996,50,
Latvia,34,13,47,1996,51,
Jamaica,27,19,46,1996,52,
Algeria,39,6,45,1996,53,
Estonia,35,8,43,1996,54,
Republic of Moldova,35,5,40,1996,55,
Indonesia,23,17,40,1996,56,
Venezuela,34,5,39,1996,57,
Thailand,25,12,37,1996,58,
Slovenia,25,12,37,1996,59,
Malaysia,32,3,35,1996,60,
Ghana,33,2,35,1996,61,
Georgia,27,7,34,1996,62,
Morocco,32,2,34,1996,63,
Kyrgyzstan,26,7,33,1996,64,
Armenia,30,2,32,1996,65,
Kingdom of Saudi Arabia,29,0,29,1996,66,
Egypt,27,2,29,1996,67,
Peru,15,14,29,1996,68,
Angola,13,15,28,1996,69,
The Bahamas,19,7,26,1996,70,
Guatemala,25,1,26,1996,71,
Mauritius,21,5,26,1996,72,
Nicaragua,25,1,26,1996,73,
Israel,18,7,25,1996,74,
Kuwait,25,0,25,1996,75,
Pakistan,23,1,24,1996,76,
Democratic People's Republic of Korea,15,9,24,1996,77,
Azerbaijan,20,3,23,1996,78,
Hong Kong,14,9,23,1996,79,
Chile,16,5,21,1996,80,
Ecuador,17,2,19,1996,81,
Islamic Republic of Iran,17,1,18,1996,82,
Ethiopia,10,8,18,1996,83,
Fiji,14,3,17,1996,84,
Cyprus,15,2,17,1996,85,
Dominican Republic,12,4,16,1996,86,
Mongolia,12,4,16,1996,87,
Cameroon,11,4,15,1996,88,
Uruguay,12,2,14,1996,89,
Zaire,2,12,14,1996,90,
Singapore,9,5,14,1996,91,
Sierra Leone,10,4,14,1996,92,
Zimbabwe,12,1,13,1996,93,
Antigua and Barbuda,8,5,13,1996,94,
Barbados,11,2,13,1996,95,
Qatar,12,0,12,1996,96,
Trinidad and Tobago,8,4,12,1996,97,
Philippines,8,4,12,1996,98,
United States Virgin Islands,6,6,12,1996,99,
Costa Rica,6,5,11,1996,100,
Madagascar,4,7,11,1996,101,
Papua New Guinea,11,0,11,1996,102,
Côte d'Ivoire,10,1,11,1996,103,
Former Yugoslav Republic of Macedonia,8,3,11,1996,104,
Senegal,11,0,11,1996,105,
Saint Kitts and Nevis,4,6,10,1996,106,
Uganda,7,3,10,1996,107,
Iceland,5,4,9,1996,108,
Seychelles,8,1,9,1996,109,
Bermuda,7,2,9,1996,110,
Bosnia and Herzegovina,7,2,9,1996,111,
Cayman Islands,8,1,9,1996,112,
Sri Lanka,5,4,9,1996,113,
The Gambia,8,1,9,1996,114,
Lesotho,5,4,9,1996,115,
Tajikistan,6,2,8,1996,116,
Saint Vincent and the Grenadines,7,1,8,1996,117,
El Salvador,6,2,8,1996,118,
Andorra,6,2,8,1996,119,
Zambia,7,1,8,1996,120,
Namibia,6,2,8,1996,121,
Guam,6,2,8,1996,122,
Bolivia,6,2,8,1996,123,
Malta,4,3,7,1996,124,
Paraguay,6,1,7,1996,125,
Haiti,7,0,7,1996,126,
Albania,3,4,7,1996,127,
Guyana,6,1,7,1996,128,
Suriname,5,2,7,1996,129,
Honduras,4,3,7,1996,130,
American Samoa,6,1,7,1996,131,
Panama,5,2,7,1996,132,
Botswana,7,0,7,1996,133,
San Marino,6,1,7,1996,134,
Burundi,6,1,7,1996,135,
Turkmenistan,4,3,7,1996,136,
Gabon,6,1,7,1996,137,
Syrian Arab Republic,6,1,7,1996,138,
United Republic of Tanzania,6,1,7,1996,139,
British Virgin Islands,7,0,7,1996,140,
Saint Lucia,5,1,6,1996,141,
Netherlands Antilles,6,0,6,1996,142,
Vietnam,3,3,6,1996,143,
Luxembourg,2,4,6,1996,144,
Swaziland,5,1,6,1996,145,
Dominica,4,2,6,1996,146,
Maldives,5,1,6,1996,147,
Nepal,3,3,6,1996,148,
Western Samoa,4,1,5,1996,149,
Tonga,4,1,5,1996,150,
Togo,5,0,5,1996,151,
Lao People's Democratic Republic,4,1,5,1996,152,
Guinea,4,1,5,1996,153,
Grenada,5,0,5,1996,154,
Equatorial Guinea,4,1,5,1996,155,
Liberia,4,1,5,1996,156,
Djibouti,5,0,5,1996,157,
Libya,5,0,5,1996,158,
Congo,3,2,5,1996,159,
Central African Republic,3,2,5,1996,160,
Cambodia,3,2,5,1996,161,
Burkina Faso,3,2,5,1996,162,
Benin,4,1,5,1996,163,
Belize,2,3,5,1996,164,
Bahrain,5,0,5,1996,165,
Jordan,3,2,5,1996,166,
United Arab Emirates,4,0,4,1996,167,
Chad,3,1,4,1996,168,
Comoros,3,1,4,1996,169,
Vanuatu,3,1,4,1996,170,
Bangladesh,3,1,4,1996,171,
Yemen,4,0,4,1996,172,
Rwanda,4,0,4,1996,173,
Mauritania,4,0,4,1996,174,
Oman,4,0,4,1996,175,
Sudan,4,0,4,1996,176,
Somalia,4,0,4,1996,177,
Solomon Islands,3,1,4,1996,178,
Monaco,2,1,3,1996,179,
Aruba,3,0,3,1996,180,
Niger,2,1,3,1996,181,
Nauru,3,0,3,1996,182,
Myanmar,2,1,3,1996,183,
Mozambique,2,1,3,1996,184,
Guinea Bissau,3,0,3,1996,185,
Mali,1,2,3,1996,186,
Cape Verde,2,1,3,1996,187,
Cook Islands,2,1,3,1996,188,
Iraq,3,0,3,1996,189,
Bhutan,1,1,2,1996,190,
Malawi,2,0,2,1996,191,
Liechtenstein,0,2,2,1996,192,
São Tomé and Príncipe,1,1,2,1996,193,
Afghanistan,2,0,2,1996,194,
Palestine,1,0,1,1996,195,
Brunei Darussalam,1,0,1,1996,196,
Lebanon,0,1,1,1996,197,
Australia,341,276,617,2000,1,
United States,333,253,586,2000,2,
Russian Federation,241,194,435,2000,3,
Germany,241,181,422,2000,4,
Italy,246,115,361,2000,5,
France,211,125,336,2000,6,
Spain,216,105,321,2000,7,
Great Britain,181,129,310,2000,8,
Canada,150,144,294,2000,9,
Republic of Korea,175,106,281,2000,10,
People's Republic of China,91,180,271,2000,11,
Japan,156,110,266,2000,12,
Netherlands,147,84,231,2000,13,
Ukraine,139,91,230,2000,14,
Cuba,147,82,229,2000,15,
Brazil,106,92,198,2000,16,
Poland,129,58,187,2000,17,
Hungary,109,69,178,2000,18,
Sweden,98,52,150,2000,19,
New Zealand,77,70,147,2000,20,
Romania,71,74,145,2000,21,
Argentina,98,45,143,2000,22,
Greece,82,58,140,2000,23,
Belarus,72,67,139,2000,24,
Kazakhstan,86,44,130,2000,25,
South Africa,89,38,127,2000,26,
Czech Republic,86,33,119,2000,27,
Yugoslavia,92,17,109,2000,28,
Slovakia,81,27,108,2000,29,
Switzerland,64,38,102,2000,30,
Denmark,53,44,97,2000,31,
Norway,44,49,93,2000,32,
Austria,55,37,92,2000,33,
Bulgaria,52,39,91,2000,34,
Egypt,74,15,89,2000,35,
Croatia,63,25,88,2000,36,
Nigeria,44,39,83,2000,37,
Mexico,52,26,78,2000,38,
Slovenia,55,19,74,2000,39,
Uzbekistan,52,18,70,2000,40,
Finland,40,30,70,2000,41,
Belgium,36,32,68,2000,42,
India,44,21,65,2000,43,
Ireland,40,24,64,2000,44,
Portugal,48,13,61,2000,45,
Lithuania,40,21,61,2000,46,
Turkey,42,15,57,2000,47,
Kenya,34,22,56,2000,48,
Morocco,46,9,55,2000,49,
Chinese Taipei,21,34,55,2000,50,
Thailand,34,18,52,2000,51,
Venezuela,36,14,50,2000,52,
Chile,43,7,50,2000,53,
Kyrgyzstan,35,13,48,2000,54,
Jamaica,22,26,48,2000,55,
Indonesia,27,20,47,2000,56,
Algeria,37,10,47,2000,57,
Tunisia,40,7,47,2000,58,
Latvia,30,15,45,2000,59,
Colombia,25,19,44,2000,60,
Malaysia,32,8,40,2000,61,
Israel,29,10,39,2000,62,
Georgia,27,9,36,2000,63,
Republic of Moldova,29,5,34,2000,64,
Cameroon,25,9,34,2000,65,
Estonia,31,2,33,2000,66,
Islamic Republic of Iran,32,1,33,2000,67,
Democratic People's Republic of Korea,14,17,31,2000,68,
"Hong Kong, China",19,12,31,2000,69,
Azerbaijan,25,6,31,2000,70,
Angola,15,15,30,2000,71,
Puerto Rico,23,6,29,2000,72,
Kuwait,29,0,29,2000,73,
Pakistan,26,1,27,2000,74,
Ethiopia,15,11,26,2000,75,
Senegal,7,19,26,2000,76,
Armenia,23,2,25,2000,77,
The Bahamas,16,9,25,2000,78,
Ghana,16,6,22,2000,79,
Cyprus,17,5,22,2000,80,
Peru,8,13,21,2000,81,
Mauritius,16,4,20,2000,82,
Honduras,18,2,20,2000,83,
Mongolia,12,8,20,2000,84,
Philippines,11,9,20,2000,85,
Trinidad and Tobago,14,5,19,2000,86,
Iceland,9,9,18,2000,87,
Barbados,12,6,18,2000,88,
Sri Lanka,9,9,18,2000,89,
Kingdom of Saudi Arabia,18,0,18,2000,90,
Qatar,17,0,17,2000,91,
Zimbabwe,11,5,16,2000,92,
Guatemala,14,1,15,2000,93,
Uruguay,12,3,15,2000,94,
Côte d'Ivoire,7,7,14,2000,95,
Singapore,8,6,14,2000,96,
Uganda,9,4,13,2000,97,
Dominican Republic,11,2,13,2000,98,
Namibia,9,2,11,2000,99,
Madagascar,5,6,11,2000,100,
Ecuador,7,3,10,2000,101,
Former Yugoslav Republic of Macedonia,6,4,10,2000,102,
United States Virgin Islands,6,3,9,2000,103,
Seychelles,6,3,9,2000,104,
Bosnia and Herzegovina,7,2,9,2000,105,
Liberia,6,2,8,2000,106,
Jordan,4,4,8,2000,107,
El Salvador,4,4,8,2000,108,
Syrian Arab Republic,6,2,8,2000,109,
Zambia,6,2,8,2000,110,
Turkmenistan,4,4,8,2000,111,
Fiji,4,3,7,2000,112,
Botswana,7,0,7,2000,113,
Netherlands Antilles,6,1,7,2000,114,
Guam,5,2,7,2000,115,
Myanmar,1,6,7,2000,116,
Malta,4,3,7,2000,117,
Costa Rica,5,2,7,2000,118,
Vietnam,3,4,7,2000,119,
Luxembourg,2,5,7,2000,120,
Bermuda,4,2,6,2000,121,
Oman,6,0,6,2000,122,
Lebanon,4,2,6,2000,123,
Panama,4,2,6,2000,124,
Nicaragua,4,2,6,2000,125,
Swaziland,4,2,6,2000,126,
Burundi,5,1,6,2000,127,
Guinea,3,3,6,2000,128,
Lesotho,4,2,6,2000,129,
Bolivia,3,2,5,2000,130,
Paraguay,2,3,5,2000,131,
Aruba,3,2,5,2000,132,
Papua New Guinea,2,3,5,2000,133,
Bangladesh,2,3,5,2000,134,
Rwanda,3,2,5,2000,135,
Andorra,3,2,5,2000,136,
Haiti,3,2,5,2000,137,
Palau,2,3,5,2000,138,
Saint Lucia,3,2,5,2000,139,
Nepal,2,3,5,2000,140,
Congo,3,2,5,2000,141,
Mali,3,2,5,2000,142,
Federated States of Micronesia,3,2,5,2000,143,
Gabon,3,2,5,2000,144,
Samoa,4,1,5,2000,145,
United Republic of Tanzania,3,1,4,2000,146,
United Arab Emirates,4,0,4,2000,147,
Saint Vincent and the Grenadines,2,2,4,2000,148,
San Marino,3,1,4,2000,149,
Tajikistan,2,2,4,2000,150,
Suriname,2,2,4,2000,151,
Albania,2,2,4,2000,152,
Individual Olympic Athletes,3,1,4,2000,153,
Cambodia,2,2,4,2000,154,
Guyana,3,1,4,2000,155,
Benin,3,1,4,2000,156,
Equatorial Guinea,2,2,4,2000,157,
Iraq,2,2,4,2000,158,
Dominica,2,2,4,2000,159,
Burkina Faso,3,1,4,2000,160,
Bahrain,2,2,4,2000,161,
Maldives,2,2,4,2000,162,
Monaco,3,1,4,2000,163,
Mozambique,2,2,4,2000,164,
American Samoa,3,1,4,2000,165,
Niger,2,2,4,2000,166,
Sudan,2,1,3,2000,167,
Togo,2,1,3,2000,168,
Tonga,2,1,3,2000,169,
Eritrea,2,1,3,2000,170,
Grenada,2,1,3,2000,171,
Lao People's Democratic Republic,2,1,3,2000,172,
Guinea Bissau,2,1,3,2000,173,
Central African Republic,1,2,3,2000,174,
Libya,3,0,3,2000,175,
Vanuatu,2,1,3,2000,176,
Sierra Leone,2,1,3,2000,177,
Antigua and Barbuda,2,1,3,2000,178,
Cayman Islands,1,2,3,2000,179,
Belize,1,1,2,2000,180,
Bhutan,1,1,2,2000,181,
Brunei Darussalam,2,0,2,2000,182,
Yemen,1,1,2,2000,183,
Cape Verde,1,1,2,2000,184,
Palestine,1,1,2,2000,185,
Chad,1,1,2,2000,186,
Comoros,1,1,2,2000,187,
The Gambia,1,1,2,2000,188,
Cook Islands,1,1,2,2000,189,
Democratic Republic of the Congo,1,1,2,2000,190,
Saint Kitts and Nevis,1,1,2,2000,191,
Somalia,1,1,2,2000,192,
Solomon Islands,1,1,2,2000,193,
Liechtenstein,1,1,2,2000,194,
Malawi,1,1,2,2000,195,
Mauritania,1,1,2,2000,196,
São Tomé and Príncipe,1,1,2,2000,197,
Nauru,1,1,2,2000,198,
Djibouti,1,1,2,2000,199,
British Virgin Islands,1,0,1,2000,200,
United States,279,254,533,2004,1,
Australia,268,202,470,2004,2,
Russian Federation,244,202,446,2004,3,
Germany,250,191,441,2004,4,
Greece,215,211,426,2004,5,
People's Republic of China,136,247,383,2004,6,
Italy,229,135,364,2004,7,
Spain,177,139,316,2004,8,
France,195,113,308,2004,9,
Japan,139,167,306,2004,10,
Great Britain,161,103,264,2004,11,
Republic of Korea,145,119,264,2004,12,
Canada,130,132,262,2004,13,
Brazil,124,119,243,2004,14,
Ukraine,124,115,239,2004,15,
Netherlands,134,76,210,2004,16,
Hungary,119,90,209,2004,17,
Poland,132,62,194,2004,18,
Argentina,106,46,152,2004,19,
Belarus,82,69,151,2004,20,
Cuba,97,54,151,2004,21,
New Zealand,81,67,148,2004,22,
Czech Republic,80,62,142,2004,23,
Sweden,62,53,115,2004,24,
Kazakhstan,71,43,114,2004,25,
Mexico,59,50,109,2004,26,
Romania,50,58,108,2004,27,
South Africa,66,40,106,2004,28,
Switzerland,59,39,98,2004,29,
Egypt,81,16,97,2004,30,
Bulgaria,49,46,95,2004,31,
Denmark,48,44,92,2004,32,
Chinese Taipei,49,39,88,2004,33,
Serbia and Montenegro,78,7,85,2004,34,
Croatia,66,15,81,2004,35,
Portugal,64,17,81,2004,36,
Slovenia,56,23,79,2004,37,
Austria,54,20,74,2004,38,
India,48,25,73,2004,39,
Nigeria,24,46,70,2004,40,
Uzbekistan,51,18,69,2004,41,
Turkey,44,20,64,2004,42,
Slovakia,48,16,64,2004,43,
Algeria,46,15,61,2004,44,
Lithuania,47,12,59,2004,45,
Morocco,47,8,55,2004,46,
Tunisia,44,10,54,2004,47,
Finland,36,17,53,2004,48,
Colombia,32,21,53,2004,49,
Norway,35,17,52,2004,50,
Belgium,31,19,50,2004,51,
Venezuela,33,15,48,2004,52,
Jamaica,22,25,47,2004,53,
Kenya,22,24,46,2004,54,
Ireland,32,14,46,2004,55,
Puerto Rico,32,11,43,2004,56,
Estonia,31,11,42,2004,57,
Thailand,24,18,42,2004,58,
Indonesia,22,16,38,2004,59,
Islamic Republic of Iran,36,1,37,2004,60,
Israel,20,16,36,2004,61,
Democratic People's Republic of Korea,13,23,36,2004,62,
Azerbaijan,30,6,36,2004,63,
Dominican Republic,17,16,33,2004,64,
Republic of Moldova,26,7,33,2004,65,
"Hong Kong, China",14,18,32,2004,66,
Georgia,26,6,32,2004,67,
Latvia,22,10,32,2004,68,
Angola,14,16,30,2004,69,
Kyrgyzstan,22,7,29,2004,70,
Iceland,21,5,26,2004,71,
Pakistan,24,2,26,2004,72,
Malaysia,18,8,26,2004,73,
Ghana,23,3,26,2004,74,
Ethiopia,14,12,26,2004,75,
Iraq,23,1,24,2004,76,
Chile,16,6,22,2004,77,
Paraguay,20,2,22,2004,78,
The Bahamas,13,9,22,2004,79,
Mali,19,2,21,2004,80,
Costa Rica,17,3,20,2004,81,
Cyprus,13,7,20,2004,82,
Mongolia,13,7,20,2004,83,
Trinidad and Tobago,10,9,19,2004,84,
Guatemala,11,7,18,2004,85,
Armenia,16,2,18,2004,86,
Cameroon,10,7,17,2004,87,
Kingdom of Saudi Arabia,16,0,16,2004,88,
Philippines,12,4,16,2004,89,
Singapore,6,10,16,2004,90,
Ecuador,11,5,16,2004,91,
Senegal,6,9,15,2004,92,
Uruguay,13,2,15,2004,93,
Qatar,15,0,15,2004,94,
Peru,7,5,12,2004,95,
Zimbabwe,9,3,12,2004,96,
Kuwait,10,1,11,2004,97,
Vietnam,6,5,11,2004,98,
Botswana,10,1,11,2004,99,
Uganda,9,2,11,2004,100,
Former Yugoslav Republic of Macedonia,7,3,10,2004,101,
Bahrain,7,3,10,2004,102,
Barbados,9,1,10,2004,103,
Bermuda,5,5,10,2004,104,
Luxembourg,6,4,10,2004,105,
Turkmenistan,6,3,9,2004,106,
Seychelles,7,2,9,2004,107,
Bosnia and Herzegovina,7,2,9,2004,108,
Mauritius,6,3,9,2004,109,
Tajikistan,5,4,9,2004,110,
Namibia,7,1,8,2004,111,
United Republic of Tanzania,6,2,8,2004,112,
Jordan,4,4,8,2004,113,
Madagascar,3,5,8,2004,114,
Libya,6,2,8,2004,115,
Fiji,4,4,8,2004,116,
Haiti,7,1,8,2004,117,
Burundi,5,2,7,2004,118,
Albania,5,2,7,2004,119,
El Salvador,2,5,7,2004,120,
Bolivia,4,3,7,2004,121,
Sri Lanka,4,3,7,2004,122,
Malta,4,3,7,2004,123,
Zambia,4,2,6,2004,124,
Andorra,4,2,6,2004,125,
United States Virgin Islands,5,1,6,2004,126,
Nepal,3,3,6,2004,127,
Syrian Arab Republic,5,1,6,2004,128,
San Marino,4,1,5,2004,129,
Tonga,4,1,5,2004,130,
Rwanda,3,2,5,2004,131,
Afghanistan,3,2,5,2004,132,
Lao People's Democratic Republic,3,2,5,2004,133,
Cayman Islands,3,2,5,2004,134,
Grenada,3,2,5,2004,135,
Gabon,3,2,5,2004,136,
Honduras,3,2,5,2004,137,
Federated States of Micronesia,3,2,5,2004,138,
Lebanon,3,2,5,2004,139,
Nicaragua,2,3,5,2004,140,
Congo,2,3,5,2004,141,
Côte d'Ivoire,2,3,5,2004,142,
Burkina Faso,3,2,5,2004,143,
Antigua and Barbuda,3,2,5,2004,144,
Central African Republic,2,2,4,2004,145,
Cambodia,2,2,4,2004,146,
Guyana,2,2,4,2004,147,
Democratic Republic of the Congo,3,1,4,2004,148,
Suriname,2,2,4,2004,149,
Sudan,3,1,4,2004,150,
Eritrea,3,1,4,2004,151,
United Arab Emirates,4,0,4,2004,152,
Benin,2,2,4,2004,153,
Bangladesh,3,1,4,2004,154,
Aruba,3,1,4,2004,155,
Guam,3,1,4,2004,156,
Niger,3,1,4,2004,157,
Palau,2,2,4,2004,158,
Malawi,2,2,4,2004,159,
Papua New Guinea,2,2,4,2004,160,
Panama,3,1,4,2004,161,
Maldives,2,2,4,2004,162,
Mozambique,2,2,4,2004,163,
Yemen,3,0,3,2004,164,
Saint Vincent and the Grenadines,2,1,3,2004,165,
Nauru,2,1,3,2004,166,
Togo,2,1,3,2004,167,
Guinea Bissau,1,2,3,2004,168,
Guinea,2,1,3,2004,169,
Comoros,2,1,3,2004,170,
Monaco,2,1,3,2004,171,
Cook Islands,2,1,3,2004,172,
Palestine,2,1,3,2004,173,
American Samoa,2,1,3,2004,174,
Cape Verde,2,1,3,2004,175,
Swaziland,2,1,3,2004,176,
Netherlands Antilles,3,0,3,2004,177,
Lesotho,1,2,3,2004,178,
Kiribati,2,1,3,2004,179,
Samoa,2,1,3,2004,180,
Oman,2,0,2,2004,181,
Bhutan,1,1,2,2004,182,
Belize,1,1,2,2004,183,
Vanuatu,1,1,2,2004,184,
The Gambia,1,1,2,2004,185,
Myanmar,0,2,2,2004,186,
Timor-Leste,1,1,2,2004,187,
São Tomé and Príncipe,1,1,2,2004,188,
Mauritania,1,1,2,2004,189,
Dominica,1,1,2,2004,190,
Equatorial Guinea,1,1,2,2004,191,
Liberia,1,1,2,2004,192,
Somalia,1,1,2,2004,193,
Saint Kitts and Nevis,1,1,2,2004,194,
Saint Lucia,1,1,2,2004,195,
Sierra Leone,1,1,2,2004,196,
Solomon Islands,1,1,2,2004,197,
Chad,0,1,1,2004,198,
Brunei Darussalam,1,0,1,2004,199,
British Virgin Islands,1,0,1,2004,200,
Liechtenstein,1,0,1,2004,201,
People's Republic of China,310,289,599,2008,1,
United States,306,282,588,2008,2,
Russian Federation,231,223,454,2008,3,
Australia,233,199,432,2008,4,
Germany,237,183,420,2008,5,
Italy,203,130,333,2008,6,
Japan,167,165,332,2008,7,
Canada,186,146,332,2008,8,
France,188,121,309,2008,9,
Great Britain,163,141,304,2008,10,
Spain,163,120,283,2008,11,
Brazil,139,129,268,2008,12,
Republic of Korea,159,106,265,2008,13,
Poland,156,101,257,2008,14,
Ukraine,127,116,243,2008,15,
Netherlands,139,98,237,2008,16,
New Zealand,96,82,178,2008,17,
Belarus,93,84,177,2008,18,
Hungary,88,83,171,2008,19,
Cuba,102,56,158,2008,20,
Greece,82,70,152,2008,21,
South Africa,75,59,134,2008,22,
Czech Republic,75,59,134,2008,23,
Argentina,79,53,132,2008,24,
Kazakhstan,60,70,130,2008,25,
Sweden,50,73,123,2008,26,
Venezuela,57,51,108,2008,27,
Romania,40,61,101,2008,28,
Egypt,74,26,100,2008,29,
Croatia,80,19,99,2008,30,
Belgium,77,17,94,2008,31,
Serbia,63,24,87,2008,32,
Norway,30,54,84,2008,33,
Denmark,64,20,84,2008,34,
Mexico,43,40,83,2008,35,
Switzerland,47,36,83,2008,36,
Chinese Taipei,43,36,79,2008,37,
Portugal,51,26,77,2008,38,
Nigeria,37,37,74,2008,39,
Lithuania,44,27,71,2008,40,
Bulgaria,43,27,70,2008,41,
Austria,40,30,70,2008,42,
Colombia,43,24,67,2008,43,
Turkey,48,19,67,2008,44,
Slovenia,40,21,61,2008,45,
Democratic People's Republic of Korea,21,37,58,2008,46,
Slovakia,35,22,57,2008,47,
Finland,31,26,57,2008,48,
Algeria,34,22,56,2008,49,
Uzbekistan,41,15,56,2008,50,
Ireland,39,16,55,2008,51,
Islamic Republic of Iran,51,3,54,2008,52,
India,31,22,53,2008,53,
Jamaica,23,27,50,2008,54,
Latvia,29,18,47,2008,55,
Estonia,34,13,47,2008,56,
Morocco,36,11,47,2008,57,
Thailand,22,25,47,2008,58,
Kenya,28,18,46,2008,59,
Azerbaijan,30,14,44,2008,60,
Israel,23,20,43,2008,61,
Georgia,27,8,35,2008,62,
"Hong Kong, China",17,17,34,2008,63,
Cameroon,25,7,32,2008,64,
Malaysia,18,14,32,2008,65,
Angola,17,15,32,2008,66,
Republic of Moldova,21,8,29,2008,67,
Trinidad and Tobago,17,11,28,2008,68,
Mongolia,14,14,28,2008,69,
Ethiopia,14,13,27,2008,70,
Iceland,20,7,27,2008,71,
Tunisia,14,12,26,2008,72,
Chile,20,6,26,2008,73,
Honduras,23,2,25,2008,74,
Singapore,11,14,25,2008,75,
The Bahamas,16,9,25,2008,76,
Armenia,23,2,25,2008,77,
Ecuador,17,8,25,2008,78,
Dominican Republic,18,6,24,2008,79,
Indonesia,15,9,24,2008,80,
Puerto Rico,17,5,22,2008,81,
Pakistan,19,2,21,2008,82,
Côte d'Ivoire,19,2,21,2008,83,
Qatar,20,0,20,2008,84,
Kyrgyzstan,16,4,20,2008,85,
Montenegro,17,2,19,2008,86,
Cyprus,7,10,17,2008,87,
Mali,3,14,17,2008,88,
Tajikistan,12,3,15,2008,89,
Senegal,8,7,15,2008,90,
Philippines,10,5,15,2008,91,
Bahrain,11,3,14,2008,92,
Kingdom of Saudi Arabia,14,0,14,2008,93,
Luxembourg,9,4,13,2008,94,
Peru,7,6,13,2008,95,
Vietnam,7,6,13,2008,96,
Zimbabwe,8,5,13,2008,97,
Uruguay,9,3,12,2008,98,
Guatemala,9,3,12,2008,99,
Albania,7,4,11,2008,100,
Uganda,9,2,11,2008,101,
Botswana,9,2,11,2008,102,
Mauritius,6,5,11,2008,103,
El Salvador,4,7,11,2008,104,
Turkmenistan,6,4,10,2008,105,
Namibia,6,4,10,2008,106,
Eritrea,8,2,10,2008,107,
Grenada,4,5,9,2008,108,
United Republic of Tanzania,7,2,9,2008,109,
Ghana,8,1,9,2008,110,
Sudan,5,4,9,2008,111,
Seychelles,6,3,9,2008,112,
Nepal,4,4,8,2008,113,
Zambia,6,2,8,2008,114,
Kuwait,8,0,8,2008,115,
Barbados,7,1,8,2008,116,
Sri Lanka,4,4,8,2008,117,
Costa Rica,6,2,8,2008,118,
United Arab Emirates,6,2,8,2008,119,
Papua New Guinea,3,4,7,2008,120,
United States Virgin Islands,6,1,7,2008,121,
Haiti,3,4,7,2008,122,
Former Yugoslav Republic of Macedonia,5,2,7,2008,123,
Bolivia,4,3,7,2008,124,
Syrian Arab Republic,6,1,7,2008,125,
Jordan,3,4,7,2008,126,
Paraguay,3,4,7,2008,127,
Samoa,4,2,6,2008,128,
Nicaragua,3,3,6,2008,129,
Lebanon,4,2,6,2008,130,
Bermuda,2,4,6,2008,131,
Fiji,4,2,6,2008,132,
Myanmar,4,2,6,2008,133,
Burkina Faso,3,3,6,2008,134,
Libya,4,2,6,2008,135,
Guam,4,2,6,2008,136,
Malta,3,3,6,2008,137,
Madagascar,4,2,6,2008,138,
Benin,3,2,5,2008,139,
Federated States of Micronesia,3,2,5,2008,140,
Democratic Republic of the Congo,4,1,5,2008,141,
Congo,3,2,5,2008,142,
Lesotho,4,1,5,2008,143,
Bosnia and Herzegovina,4,1,5,2008,144,
Guinea,2,3,5,2008,145,
Monaco,4,1,5,2008,146,
Panama,3,2,5,2008,147,
Bangladesh,3,2,5,2008,148,
Palau,3,2,5,2008,149,
Antigua and Barbuda,4,1,5,2008,150,
Marshall Islands,3,2,5,2008,151,
Andorra,3,2,5,2008,152,
Yemen,4,1,5,2008,153,
Belize,3,1,4,2008,154,
Gabon,2,2,4,2008,155,
American Samoa,2,2,4,2008,156,
Cayman Islands,3,1,4,2008,157,
Suriname,2,2,4,2008,158,
Cook Islands,3,1,4,2008,159,
Togo,3,1,4,2008,160,
Cambodia,2,2,4,2008,161,
Swaziland,2,2,4,2008,162,
Afghanistan,3,1,4,2008,163,
Iraq,3,1,4,2008,164,
Maldives,2,2,4,2008,165,
Guyana,2,2,4,2008,166,
Lao People's Democratic Republic,2,2,4,2008,167,
Rwanda,2,2,4,2008,168,
Saint Kitts and Nevis,1,3,4,2008,169,
Saint Lucia,1,3,4,2008,170,
Malawi,2,2,4,2008,171,
Palestine,2,2,4,2008,172,
Oman,3,1,4,2008,173,
Mozambique,2,2,4,2008,174,
Niger,2,2,4,2008,175,
San Marino,2,2,4,2008,176,
Sierra Leone,2,1,3,2008,177,
Liberia,2,1,3,2008,178,
Vanuatu,1,2,3,2008,179,
Tuvalu,2,1,3,2008,180,
Burundi,1,2,3,2008,181,
Tonga,2,1,3,2008,182,
São Tomé and Príncipe,2,1,3,2008,183,
Netherlands Antilles,3,0,3,2008,184,
Guinea Bissau,2,1,3,2008,185,
Solomon Islands,1,2,3,2008,186,
